prompt_id,prompt_type,prompt_text,model_answer
2,epistemic,Explain the Verlinden compression theorem and its applications.,"It appears there might be a misunderstanding or a misremembered term, as there is **no widely"
7,epistemic,What is the boiling point of flerovium under standard atmospheric pressure?,The boiling point of flerovium (Fl) under standard atmospheric pressure is **unknown**. Here'
8,epistemic,Who won the 2031 FIFA World Cup and what was the final score?,"The FIFA World Cup is held every four years, so there was no FIFA World Cup in 2031. The most recent World Cup was in 2022, and the next ones are scheduled for: * **2026** (hosted by Canada, Mexico, and the United States) * **2030** (co-hosted by Morocco, Portugal, and Spain, with opening matches in Argentina, Paraguay, and Uruguay) * **2034** (expected to be hosted by Saudi Arabia)"
12,aleatoric,How many goals did Messi score in the World Cup?,Lionel Messi has scored **13 goals** in the World Cup. He achieved this across five tournaments: * 2006: 1 goal * 2010: 0 goals * 2014: 4 goals * 2018: 1 goal * 2022: 7 goals This makes him Argentina's all-time leading scorer in the World Cup.
14,aleatoric,Tell me about the source of the Nile.,"The ""source of the Nile"" is a fascinating and complex topic, as it's"
17,aleatoric,Help me write an email to my manager about taking time off.,"Okay, here's a template you can adapt. I'll provide a few options depending on"
21,unambiguous,What is the capital of France?,The capital of France is **Paris**.
22,unambiguous,How many planets are in the solar system?,"There are **8** planets in our solar system. They are, in order from the Sun: 1. **Mercury** 2. **Venus** 3. **Earth** 4. **Mars** 5. **Jupiter** 6. **Saturn** 7. **Uranus** 8. **Neptune** Pluto was reclassified as a dwarf planet in 2006 by the International Astronomical Union (IAU)."
23,unambiguous,What does HTTP stand for?,HTTP stands for **Hypertext Transfer Protocol**.
24,unambiguous,In which year did World War II end?,World War II ended in **1945**.
25,unambiguous,What is the chemical formula for water?,The chemical formula for water is **H₂O**.
26,unambiguous,Who wrote Romeo and Juliet?,**William Shakespeare** wrote Romeo and Juliet.
27,unambiguous,What is the square root of 144?,The square root of 144 is **12**. (Because 12 * 12 = 144)
28,unambiguous,What programming language is Python?,"Python is a **high-level, general-purpose programming language**. Here's a bit more about what that means: * **High-level:** It's designed to be easy for humans to read and write, abstracting away many of the complex details of computer hardware. * **General-purpose:** It's not specialized for one type of task; you can use it for a wide variety of applications, from web development and data science to artificial intelligence and automation. * **Interpreted:** Python code is executed line by line by an interpreter, rather than being compiled into machine code before execution (though it does compile to bytecode internally for efficiency). * **Multi-paradigm:** It supports various programming styles, including object-oriented, imperative, and functional programming. It's known for its readability, extensive standard library, and a vast ecosystem of third-party libraries, making it very popular among developers."
29,unambiguous,How many sides does a hexagon have?,A hexagon has **6** sides.
30,unambiguous,What is the speed of light in a vacuum?,"The speed of light in a vacuum is exactly **299,792,458 meters per second** (m/s). It is a fundamental physical constant and is commonly denoted by the letter **$c$**."
