subclass,question_clean,clarifying_question_clean,predict_clarifying_question_clean,predict_ambiguous,require_clarification,uncertainty_type
whom,Whats the dogs name in the movie up?,"Which one: the Golden Retriever dog, the actor who voices the Golden Retriever dog, the Doberman Pinscher dog, the actor who voices the Doberman Pinscher dog, the Rottweiler dog, the actor who voices the Rottweiler dog, the Bulldog character, or the actor who voices the Bulldog character?","Are you referring to the animated movie ""Up"" released by Pixar in 2009?",0,1,aleatoric
whom,Give me a few ways that I can get stronger and in better shape before the next ski season.,"Can you specify your current fitness level, access to equipment, and whether you are looking for general fitness advice or ski-specific training?",Could you please specify the time frame for getting stronger and in better shape before the next ski season?,0,1,aleatoric
whom,Give me a list of certain insurances that I should take when moving to Germany.,"What will be the purpose of your stay in Germany (e.g., work, study, travel), and what is your current insurance coverage?","Could you please specify what you mean by ""certain insurances""? Are you referring to health insurance, liability insurance, or any other specific types of insurance?",0,1,epistemic
whom,Who led the development of the ibm personal computer?,"Which one: the director of the team, or the employees?",Are you referring to the initial development of the IBM personal computer or any subsequent developments as well?,0,1,aleatoric
what,Where does final maturation of a sperm cell occur?,"In which one: gland, or cell?",Could you please specify whether you are referring to the final maturation of a sperm cell in the male reproductive system or in the female reproductive system?,0,1,aleatoric
what,Please provide a list of best movies from Shahrukh Khan.,"what's your standard about the definition of ""best""?","Could you please specify the criteria or basis for determining the ""best"" movies?",0,1,aleatoric
what,How do you determine the market capitalization of a publicly traded company?,"Are you looking for a general formula for calculating market capitalization, or do you need guidance on where to find the necessary data such as current share price and outstanding shares?","Are you looking for a specific method or formula to calculate the market capitalization, or are you seeking a general explanation of the concept and factors involved in determining the market capitalization of a publicly traded company?",0,1,preferential
what,Who played the reaper in bill and ted?,"Which one: Bill&Ted's Bogus Journey, or Bill&Ted Face the Music?","Could you please specify which version or adaptation of ""Bill and Ted"" you are referring to?",0,1,aleatoric
when,When did season 3 of queen of the south start?,"Which one: the date, or the time?","Is the user referring to the start date of season 3 of the TV show ""Queen of the South""?",0,1,unclear
when,Give me a bulleted list of the last 10 UK Prime Ministers,Are you asking for a list of the most recent UK Prime Ministers or a specific chronological sequence?,Should the list include the current UK Prime Minister or only the previous 10 Prime Ministers before the current one?,0,1,unclear
when,Who is highest paid government employee in india?,"Which one: officeholder, as of 25 July 2017, from 25 July 2012-25 July 2017, or from 25 July 2007-25 July 2012?",Are you asking for the highest paid government employee currently or historically in India?,0,1,unclear
when,How early can you buy alcohol in maine?,"Which time frame: prior to 2015, after 2015, or on St. Patricks Day when it fell on a Sunday in 2013?",Are you asking about the legal age to purchase alcohol in Maine or the earliest time of day that alcohol can be purchased in Maine?,0,1,unclear
where,Where was tiger spy in the jungle filmed?,"Which one: the park, or the geographical location?",Which specific jungle are you referring to?,0,1,aleatoric
where,"Can you please divide these fruit and vegetables into red and green colors. Some can be either red or green, so list those as 'both red and green varieties'. Here is the list: cherries, raspberries, lettuce, celery cherries, strawberries, apples, peppers, cabbage, beans, kale, tomatoes, capsicum, raspberries, celery, spinach.",Should the division be based on the outer appearance (skin or peel color) or the internal color of the fruits and vegetables?,"Are we only considering the color of the outer skin or surface of the fruits and vegetables, or should we also consider the color of the flesh or interior?",1,1,unclear
where,What is the triangular shaped area at each end of the greek temple called?,"Which triangle shaped area: the decorative surface, or the one at the front and rear of each temple?","Are you referring to the triangular area formed by the roof and the horizontal cornice at each end of the temple, or are you referring to a specific architectural feature within that triangular area?",0,1,aleatoric
where,Where is the netflix series free rein filmed?,"Which location: the filming base, or the pier scene?","Are you asking about the filming location of the entire series or a specific season/episode of ""Free Rein""?",0,1,unclear
NK,What is the body length of Pristis perottistis?,"What is the context or domain in which ""Pristis perottistis"" is being referred to?",Are you referring to the average body length of Pristis perottistis or the maximum body length ever recorded for this species?,0,1,aleatoric
NK,Is Empis gooti aggregative multicellular?,,"Could you please provide more context or specify what ""Empis gooti"" refers to?",0,0,unclear
NK,What's the latitude range where DMirachelus is found?,Can you please provide more context or information about DMirachelus?,Can you please provide more context or specify the geographical area or region where DMirachelus is typically found?,0,1,unclear
NK,What's the longitude of the location where achotus was found?,"Can you please provide more information about ""achotus""? Is it a specific place, person, or object?","Could you please provide more context or details about ""achotus""?",0,1,unclear
