id,category,preliminary_confidence,updated_confidence,conf_delta,clarifying_question,cq_type,rouge_prelim,rouge_updated,rouge_delta
msd_001,Windows_8.1,95,95,0,Can you still find Microsoft Solitaire in your Start Menu or by searching for it on your computer?,EPISTEMIC,0.25675675675675674,0.2040816326530612,-0.05267512410369554
msd_002,Windows_8.1,90,95,5,Are you referring to the desktop calculator application or the full-screen app from the Start screen?,EPISTEMIC,0.15646258503401358,0.14285714285714285,-0.013605442176870736
msd_003,Bing_Apps,75,90,15,Have you tried resetting the Bing News app data or reinstalling the app from the Windows Store since the issue began?,EPISTEMIC,0.1696969696969697,0.16766467065868262,-0.002032299038287083
msd_004,Excel,75,80,5,"Has there been any recent software installation, update (Windows or Office), or new Excel add-in enabled on your system?",EPISTEMIC,0.11504424778761062,0.06603773584905659,-0.04900651193855403
msd_005,Windows_7,75,85,10,Have you tried creating a new user account and attempting to launch 'Back up your computer' from the Control Panel while logged into that new account?,EPISTEMIC,0.08064516129032258,0.1297709923664122,0.04912583107608963
msd_006,Skype_Windows_Desktop,80,90,10,"Are you using a VPN, proxy server, or any specific network security software that might be interfering with Skype's connection, especially since you've changed locations?",EPISTEMIC,0.08695652173913043,0.09615384615384616,0.009197324414715727
msd_007,Windows_10,75,90,15,"Are you using multiple monitors, or have you recently changed your display setup (e.g., disconnected an external monitor or projector)?",EPISTEMIC,0.10731707317073169,0.1372549019607843,0.029937828790052606
msd_008,Apps_Windows_10,65,90,25,"Does this page reloading issue occur only when you try to copy content on YouTube, or does it happen on other websites in Microsoft Edge as well?",EPISTEMIC,0.11764705882352941,0.13333333333333333,0.01568627450980392
msd_009,Excel,90,95,5,Is the last argument of your VLOOKUP function set to FALSE for an exact match?,EPISTEMIC,0.12799999999999997,0.09183673469387756,-0.03616326530612242
msd_010,Bing,60,100,40,"Could you please tell me where exactly you saw the promise for the Amazon gift card when creating your Hotmail account (e.g., a specific website, email, or advertisement)?",EPISTEMIC,0.14876033057851237,0.1951219512195122,0.04636162064099983
msd_011,Apps_Windows_10,80,90,10,"Have you tried updating your Windows 10 operating system and Microsoft Edge browser to the latest available versions, and does the issue persist after the updates?",EPISTEMIC,0.061855670103092786,0.12727272727272726,0.06541705716963447
msd_012,Excel,60,90,30,"Are you using the standard 'Sort & Filter' function from the Data tab, or are you attempting to sort using a different method, such as a macro or a specific table feature?",EPISTEMIC,0.11214953271028036,0.06572769953051644,-0.04642183317976392
msd_013,Word,85,90,5,"When did this issue with ComboBoxes start occurring, and did it coincide with any specific update to Office for Mac or your macOS version?",EPISTEMIC,0.13333333333333333,0.10869565217391303,-0.024637681159420305
