id,question,label,raw_response,provider,model,latency_seconds,timestamp,error,turn
sharc_000,"Are you a Veteran, Servicemember, current Reserve or National Guard member with at least 6 years of creditable service, or a surviving spouse?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,3.089,2026-05-07T19:55:03.392783+00:00,,1
sharc_001,Are you a foreign national?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,4.371,2026-05-07T19:55:08.765139+00:00,,1
sharc_002,"Are you a citizen, non-citizen national, or legal resident alien of the United States?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.885,2026-05-07T19:55:15.651571+00:00,,1
sharc_003,Are you seeking assistance for a qualifying small business?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,2.417,2026-05-07T19:55:19.070291+00:00,,1
sharc_004,Have you worked for your employer continuously for at least 26 weeks continuing into the 15th week before your expected week of childbirth?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,2.642,2026-05-07T19:55:22.715989+00:00,,1
sharc_005,"Is the country you are referring to one of the following: Hungary, Iceland, Ireland, or Italy?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,6.526,2026-05-07T19:55:30.242711+00:00,,1
sharc_006,Are you a single adult aged 16 or over?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,8.753,2026-05-07T19:55:39.997122+00:00,,1
sharc_006,Do you or your children have a disability or medical condition that prevents sharing a bedroom?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,10.481,2026-05-07T19:55:51.479788+00:00,,2
sharc_007,Are you a family farmer?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,9.659,2026-05-07T19:56:02.140282+00:00,,1
sharc_007,Do you have a satisfactory history of meeting credit obligations?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.043,2026-05-07T19:56:08.185782+00:00,,2
sharc_007,"Are you a citizen, non-citizen national, or legal resident alien of the United States?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,4.25,2026-05-07T19:56:13.437096+00:00,,3
sharc_008,"Is your case related to Social Security and Child Support, Asylum Support, or Criminal Injuries Compensation?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,3.199,2026-05-07T19:56:17.637839+00:00,,1
sharc_009,"Is your case a Social Security and Child Support, Asylum Support, or Criminal Injuries Compensation case?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,8.739,2026-05-07T19:56:27.378878+00:00,,1
sharc_010,Are you a qualifying small business seeking capital for a start-up or growth situation?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,14.795,2026-05-07T19:56:43.175026+00:00,,1
sharc_011,"Is the country you are referring to one of the following: Hungary, Iceland, Ireland, or Italy?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,12.32,2026-05-07T19:56:56.496794+00:00,,1
sharc_012,Have you been getting Housing Benefit continuously at the same address since before 7 April 2008?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.09,2026-05-07T19:57:02.587832+00:00,,1
sharc_014,Do you meet any of the specific criteria for a first preference immigrant worker as described in the rule?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.18,2026-05-07T19:57:08.769091+00:00,,1
sharc_015,Are you 25 or older and currently a full-time student or an Australian Apprentice?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.612,2026-05-07T19:57:15.382995+00:00,,1
sharc_016,"Are you a Veteran, Servicemember, current Reserve or National Guard member with at least 6 years of creditable service, or a certain surviving spouse?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,4.778,2026-05-07T19:57:21.162462+00:00,,1
sharc_017,Do you live outside the UK?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.371,2026-05-07T19:57:27.535560+00:00,,1
sharc_017,Are you a Crown servant posted overseas?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,4.085,2026-05-07T19:57:32.625018+00:00,,2
sharc_017,Do you live abroad with your child and get UK benefits or the State Pension?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,3.87,2026-05-07T19:57:37.497302+00:00,,3
sharc_018,Do you have an Honorable Discharge?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,4.57,2026-05-07T19:57:43.068561+00:00,,1
sharc_018,Do you have a High School Diploma (or equivalent) or 12 hours of college credit?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,19.224,2026-05-07T19:58:03.294390+00:00,,2
sharc_018,Do you meet the requirements under one of the four categories listed on the Department of Veterans Affairs (VA) Montgomery GI Bill Active Duty page?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,4.273,2026-05-07T19:58:08.569353+00:00,,3
sharc_019,Have you worked for your employer continuously for at least 26 weeks continuing into the 15th week before your expected week of childbirth?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,2.571,2026-05-07T19:58:12.141207+00:00,,1
sharc_019,Do you earn on average at least £113 a week?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,4.686,2026-05-07T19:58:17.829047+00:00,,2
sharc_019,Have you given the correct notice to your employer?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.296,2026-05-07T19:58:24.126965+00:00,,3
sharc_020,"Is your case a Social Security and Child Support, Asylum Support, or Criminal Injuries Compensation case?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,6.438,2026-05-07T19:58:31.566162+00:00,,1
sharc_021,Do you plan to stay in the UK as your permanent home?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,8.963,2026-05-07T19:58:41.531467+00:00,,1
sharc_022,Are you referring to one of the countries listed in the rule text?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,150.937,2026-05-07T20:01:13.470295+00:00,,1
sharc_023,"Are you a Native American/American Indian who has been accepted or enrolled in an accredited degree program, college or university to study in the field of health care, and are you or your family member enrolled in a federally recognized American Indian tribe or Alaska Native village?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,17.321,2026-05-07T20:01:31.792766+00:00,,1
sharc_024,"Is the animal classed as B, C, or D?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,68.826,2026-05-07T20:02:41.620111+00:00,,1
sharc_025,Are you an agricultural producer or an owner of non-industrial private forestland?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,24.4,2026-05-07T20:03:07.021760+00:00,,1
sharc_026,Is the item you are selling one of the specific items listed in the rule?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.565,2026-05-07T20:03:13.588117+00:00,,1
sharc_027,"Are you the father, the husband or partner of the mother (or adopter), the child’s adopter, or an intended parent through a surrogacy arrangement?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,2.893,2026-05-07T20:03:17.483257+00:00,,1
sharc_028,Are you a single adult aged 16 or over?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,16.886,2026-05-07T20:03:35.371254+00:00,,1
sharc_028,"Do you have a disability or medical condition that prevents you from sharing a bedroom, or are you a child and shared bedrooms are already taken?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,24.088,2026-05-07T20:04:00.460865+00:00,,2
sharc_029,Will you be the owner-operator of a family farm after loan closing?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.669,2026-05-07T20:04:07.131769+00:00,,1
sharc_030,Do you claim Marriage Allowance or Blind Person's Allowance?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,23.801,2026-05-07T20:04:31.935562+00:00,,1
