id,difficulty,correct_option,is_correct_preliminary,is_correct_1,is_correct_2,is_correct_final,preliminary_confidence,confidence_1,confidence_2,final_confidence,cq1_type,cq2_type,cq3_type
medqa_0982,easy,B,True,True,False,False,60,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0799,easy,B,True,True,True,True,60,90,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1095,medium,C,True,True,True,True,60,95,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1228,hard,B,True,True,True,True,65,85,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1054,medium,A,True,True,True,True,60,85,95,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0215,easy,C,False,False,False,False,65,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0155,medium,D,True,True,True,True,60,90,95,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0886,easy,A,True,True,True,True,65,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0640,medium,D,True,True,True,True,60,85,95,99,EPISTEMIC,EPISTEMIC,ALEATORIC
medqa_0004,easy,B,True,True,True,True,60,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0141,medium,A,False,False,False,False,50,75,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0090,medium,D,True,True,True,True,60,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0655,medium,B,True,True,True,True,65,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0097,easy,B,True,True,True,True,60,85,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0777,easy,C,True,True,True,True,65,75,85,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1245,hard,B,True,True,True,True,65,85,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0893,easy,B,True,True,True,True,65,85,95,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0884,easy,A,True,True,True,True,60,95,85,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1069,easy,A,True,True,True,True,60,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0925,easy,C,True,True,True,True,60,85,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1159,easy,A,False,False,False,False,65,85,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0758,hard,D,False,False,False,False,65,90,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0451,easy,D,False,False,False,False,65,85,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0050,easy,D,True,True,True,True,65,90,95,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1119,medium,D,False,False,False,True,60,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0222,easy,C,False,False,False,False,60,95,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0206,easy,C,True,True,True,True,60,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1134,easy,A,False,True,True,True,60,85,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0322,medium,C,False,False,False,False,65,90,85,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0951,medium,C,False,False,False,False,65,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0208,easy,B,False,False,False,False,40,50,60,75,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0872,medium,C,False,False,False,False,60,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0507,hard,D,True,True,True,True,65,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0681,medium,B,False,False,False,False,65,85,95,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0344,hard,A,False,True,True,True,60,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0807,hard,A,True,True,True,True,65,90,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0889,medium,A,False,False,False,False,65,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1050,medium,C,True,True,True,True,65,85,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0943,easy,D,True,True,True,True,60,95,99,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0896,easy,D,False,False,True,True,55,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0052,easy,D,True,True,True,True,65,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0607,easy,C,True,True,True,True,40,85,75,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1182,easy,A,True,True,True,True,65,85,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0410,easy,C,False,False,False,False,60,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1164,medium,A,False,False,False,False,40,65,80,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0467,hard,D,True,True,True,True,60,85,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0610,medium,A,True,True,True,True,65,75,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0627,hard,C,False,False,False,False,60,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0702,medium,C,True,False,False,False,40,75,85,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0552,hard,A,False,False,False,False,60,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0258,medium,D,False,False,False,False,40,65,85,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0711,easy,C,True,True,True,True,60,85,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0128,medium,A,False,False,False,False,65,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1158,hard,D,False,False,False,False,65,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0138,easy,B,True,True,True,True,65,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0529,easy,B,True,True,True,True,65,90,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0770,easy,B,False,False,False,False,65,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
