id,turn,clarifying_question
medqa_0982,1,"Can you describe the chest pain – is it pleuritic, exertional, or something else?"
medqa_0982,2,"Has the patient experienced any recent weight loss, fever, night sweats, or other systemic symptoms?"
medqa_0982,3,"Has a chest X-ray or CT scan been performed, and if so, can you describe any findings, particularly regarding the presence of masses, nodules, or lymphadenopathy?"
medqa_0799,1,"Can you describe the chest pain – is it exertional, positional, or constant, and are there any associated symptoms like shortness of breath or nausea?"
medqa_0799,2,"What is the patient's current blood pressure and heart rate, and are there any signs of peripheral perfusion compromise (e.g., cool extremities, delayed capillary refill)?"
medqa_0799,3,"Has an ECG been performed, and if so, what are the key findings (e.g., ST elevation, ST depression, T wave inversions)?"
medqa_1095,1,"Could you describe the location of the pathology on the CT scan more precisely – for example, is it closer to the flank, the midline, or more anterior?"
medqa_1095,2,Does the CT scan reveal any involvement or proximity to the linea alba?
medqa_1095,3,"Is there any evidence of hematoma or fluid collection surrounding the defect within the rectus abdominis muscle, and if so, what is its approximate size?"
medqa_1228,1,Has the patient experienced any recent changes in vision or headaches?
medqa_1228,2,"Has the patient's growth velocity (height gained per year) been consistently below the normal range for his age, or is this a more recent observation?"
medqa_1228,3,"Are there any reported abnormalities on physical examination, such as galactorrhea, delayed puberty signs, or abnormal neurological findings beyond the occasional head turning and recent headaches?"
medqa_1054,1,"Can you describe the pain – is it constant, intermittent, sharp, dull, or aching, and what activities make it worse?"
medqa_1054,2,Does the patient experience difficulty or pain with abduction (raising the arm away from the body) or external rotation of the shoulder?
medqa_1054,3,"Has the patient experienced any recent trauma to the shoulder, such as a fall or direct blow?"
medqa_0215,1,How long has the patient been experiencing these urinary changes?
medqa_0215,2,"Does the patient report any dysuria (painful urination), hematuria (blood in urine), or urgency (sudden, compelling need to urinate)?"
medqa_0215,3,"Has the patient noticed any difficulty starting or maintaining a stream of urine, or a weak urinary stream?"
medqa_0155,1,"Can you describe the 'unusual behavior' in more detail? Specifically, what behaviors are concerning you?"
medqa_0155,2,"Was there any history of recent substance use, particularly over-the-counter medications, prescription drugs, or illicit substances, and if so, can you describe the substance(s) and approximate time of last use?"
medqa_0155,3,"Can you describe the appearance of the 'white powder' that was reportedly circulating, and were there any other individuals present who exhibited similar symptoms?"
medqa_0886,1,"Has she reported any new symptoms or concerns since her last visit, such as unusual discharge, pain, or bleeding?"
medqa_0886,2,What is her history of prior STI screening and what were the results?
medqa_0886,3,What type of contraception is she currently using?
medqa_0640,1,"Can you tell me how long the abdominal cramps and muscle pains have been occurring, and have there been any other associated symptoms like urine discoloration, fatigue, or recent infections?"
medqa_0640,2,"Has Jacob been exposed to lead recently, such as through paint, water pipes, or toys, and are there any known sources of lead in his home or daycare environment?"
medqa_0640,3,Could you please obtain a blood lead level (BLL) for Jacob to quantify the extent of potential lead exposure?
medqa_0004,1,"How long have the itchy, watery eyes been occurring?"
medqa_0004,2,"Are there any associated symptoms such as redness, swelling, crusting of the eyelids, or blurred vision?"
medqa_0004,3,"Does the patient have any known allergies, particularly to pollen, dust mites, or animal dander?"
medqa_0141,1,"How long has the patient been experiencing fatigue and weakness, and has there been any recent weight change or changes in appetite?"
medqa_0141,2,"Does the patient report any new-onset headaches, visual disturbances, or changes in her menstrual cycle?"
medqa_0141,3,"Has the patient been taking any new medications, supplements, or herbal remedies in the past six months?"
medqa_0090,1,"How long has the patient been experiencing these symptoms, and has there been any recent travel or changes in diet?"
medqa_0090,2,"Has the patient consumed any water from rivers, lakes, or streams since arriving in Uganda?"
medqa_0090,3,"Has the patient experienced any abdominal pain, fever, or visible blood in the stool?"
medqa_0655,1,"Could you describe the planned surgical approach (e.g., open, laparoscopic, robotic) and the anticipated location of the insulinoma within the pancreas?"
medqa_0655,2,"Given the laparoscopic approach and body of the pancreas location, are there any significant adhesions or prior surgical history that might alter the standard dissection plane and necessitate additional ligamentolysis?"
medqa_0655,3,"Considering the laparoscopic approach and the lesion's location in the body of the pancreas, what is the anticipated plane of dissection relative to the splenic vessels, and how might this influence the need to address the ligamentum venosum?"
medqa_0097,1,"Can you describe the appearance of the penile discharge – is it purulent, mucopurulent, or something else?"
medqa_0097,2,Does the patient report any history of recurrent urinary tract infections or sexually transmitted infections?
medqa_0097,3,"Has the patient been tested for *Neisseria gonorrhoeae* and *Chlamydia trachomatis* in the past, and if so, what were the results?"
medqa_0777,1,"Can you describe the pattern of your pain – is it constant, intermittent, or fluctuating, and are there any specific activities or times of day that make it significantly better or worse?"
medqa_0777,2,"Has the patient experienced any significant psychological distress, such as anxiety or depression, alongside the chronic pain?"
medqa_0777,3,"Are there any signs of inflammation, such as morning stiffness lasting longer than 30 minutes, or swelling in any joints?"
medqa_1245,1,How long has the patient been experiencing the cough and fatigue?
medqa_1245,2,Has the patient had any known asbestos exposure or a history of working in industries with high asbestos content?
medqa_1245,3,"Are there any pleural plaques or other signs of asbestos-related lung disease visible on chest imaging (e.g., X-ray or CT scan)?"
