id,utterance_id,tree_id,snippet,question,preliminary_answer,preliminary_reasoning,preliminary_confidence,needed_clarification_0,cq_1,user_response_1,answer_1,reasoning_1,confidence_1,needed_clarification_1,cq_2,user_response_2,answer_2,reasoning_2,confidence_2,needed_clarification_2,cq_3,user_response_3,final_answer,final_reasoning,final_confidence,n_cqs_asked,gold_answer,n_history_cqs,n_evidence_cqs,is_correct_preliminary,is_correct_final,provider,model_id,finish_reason,was_blocked
sharc_000,60cb5d558205bbb631d040aa9dfa247134cd3d92,e7e47ea8e2330ce7ed13e3bd2f082cf955e4e7a7,"* Eligible Veterans / Servicemember
* Current Reserve and National Guard members (after 6 years of creditable service)
* Certain surviving spouses",May I qualify for VA-guaranteed loans?,No,"The rule specifies eligibility for certain groups, and your status within these groups is not provided.",20,True,"Are you a Veteran, Servicemember, current Reserve or National Guard member with at least 6 years of creditable service, or a surviving spouse?",I am the surviving spouse of an eligible veteran or servicemember.,Yes,"The user's statement confirms they are a surviving spouse of an eligible veteran or servicemember, which is one of the specified eligibility criteria.",100.0,False,,,,,,,,,Yes,"The user's statement confirms they are a surviving spouse of an eligible veteran or servicemember, which is one of the specified eligibility criteria.",100,1,Yes,3,0,False,True,gemini,gemini-2.5-flash,STOP,False
sharc_001,0c9a540f7b2d82b636bb661464a392a7e924c9c1,7cce687db6e0fd1028440495496013b9eddbcf32,"#The Deportation Process

The United States may deport foreign nationals who participate in criminal acts, are a threat to public safety, or violate their visa.",Can I get deported?,Yes,"The rule outlines specific circumstances under which foreign nationals may be deported, indicating that deportation is possible if those conditions are met.",20,True,Are you a foreign national?,That information is not available.,No,"The rule for deportation applies specifically to foreign nationals, and the user has not confirmed they are a foreign national.",90.0,False,,,,,,,,,No,"The rule for deportation applies specifically to foreign nationals, and the user has not confirmed they are a foreign national.",90,1,No,2,1,False,True,gemini,gemini-2.5-flash,STOP,False
sharc_002,57d856b7397a463c6aafeeadfc3a8da7cd780c88,c310b78c0236d73937aa88bcb8f50f9fb76e02b2,"To qualify for assistance, applicants must meet all loan eligibility requirements including:

* Be a family farmer;
* Have a satisfactory history of meeting credit obligations;
* For direct farm ownership loans, all applicants must have participated in the business operations of a farm for at least three years out of the 10 years prior to the date the application is submitted;
* Be a citizen, non-citizen national or legal resident alien of the United States, including Puerto Rico, the U.S. Virgin Islands, Guam, American Samoa, and certain former Pacific Trust Territories",Do I qualify for assistance?,No,The user has not provided any information to confirm they meet all the specified eligibility requirements.,20,True,"Are you a citizen, non-citizen national, or legal resident alien of the United States?","No, I am not a United States citizen, a non-citizen national, or a legal resident alien.",No,"The user explicitly stated they are not a citizen, non-citizen national, or legal resident alien of the United States, which is a mandatory eligibility requirement.",100.0,False,,,,,,,,,No,"The user explicitly stated they are not a citizen, non-citizen national, or legal resident alien of the United States, which is a mandatory eligibility requirement.",100,1,No,2,3,True,True,gemini,gemini-2.5-flash,STOP,False
sharc_003,d3937f390bde6008789699559e0a9df7e3e565af,fb8e4f960935d33af75592f8daceecf4bb54d16d,"The Small Business Investment Company (SBIC) program, part of the U.S. Small Business Administration (SBA), was created in 1958 to fill the gap between the availability of venture capital and the needs of small businesses in start-up and growth situations. SBICs exist to supply equity capital, long­term loans and management assistance to qualifying small businesses.",Is the SBIC program suitable for me?,No,"The rule states the SBIC program is for 'qualifying small businesses' in 'start-up and growth situations,' and the user has not provided any information about their business status or needs.",20,True,Are you seeking assistance for a qualifying small business?,"No, I am not a qualifying small business.",No,"The user explicitly stated they are not a qualifying small business, which is a fundamental requirement for the SBIC program.",100.0,False,,,,,,,,,No,"The user explicitly stated they are not a qualifying small business, which is a fundamental requirement for the SBIC program.",100,1,No,3,0,True,True,gemini,gemini-2.5-flash,STOP,False
sharc_004,0af79689ae9d1e77dbb34eb4a8960fe4d4757456,2c7c37769eb365976fb91d3888ae8eaac206e47d,"## Statutory Maternity Pay

To qualify for SMP you must:

* earn on average at least £113 a week
* give the correct notice
* give proof you’re pregnant
* have worked for your employer continuously for at least 26 weeks continuing into the ‘qualifying week’ - the 15th week before the expected week of childbirth",Do I qualify for SMP?,No,"The user has not provided any information regarding their earnings, employment history, notice given, or proof of pregnancy, all of which are required to qualify for Statutory Maternity Pay.",10,True,Have you worked for your employer continuously for at least 26 weeks continuing into the 15th week before your expected week of childbirth?,"No, I have not worked for my employer continuously for at least 26 weeks.",No,"The user does not qualify for SMP because they have not worked for their employer continuously for at least 26 weeks, which is a mandatory requirement.",100.0,False,,,,,,,,,No,"The user does not qualify for SMP because they have not worked for their employer continuously for at least 26 weeks, which is a mandatory requirement.",100,1,No,4,0,True,True,gemini,gemini-2.5-flash,STOP,False
sharc_005,bd4ac1150f36986f082cd97a83829d8e2e1196fd,a0e6fdd7dd601cd0b541201119c19783b7baf131,"#  2. Where you can claim benefits

The following countries have benefits arrangements with the UK:

* Hungary
* Iceland
* Ireland
* Italy",Does this country have benefits arrangements with the UK?,No,"The rule lists specific countries with benefits arrangements, and the country in question has not been identified.",10,True,"Is the country you are referring to one of the following: Hungary, Iceland, Ireland, or Italy?","The country is not Hungary, Iceland, Ireland, or Italy.",No,The user confirmed the country is not one of the four listed countries that have benefits arrangements with the UK.,100.0,False,,,,,,,,,No,The user confirmed the country is not one of the four listed countries that have benefits arrangements with the UK.,100,1,No,4,0,True,True,gemini,gemini-2.5-flash,STOP,False
sharc_006,8b0eb55777b9ae4429a896819eebd9d84863e093,263c1fd6c4004bdb60a1b98909bb70b216ae2d79,"### Sharing bedrooms

The following can have their own bedroom:

* a single adult (16 or over)
* a child that would normally share but shared bedrooms are already taken, for example you have 3 children and 2 already share
* a couple or children who can’t share because of a disability or medical condition
* an overnight carer for you, your partner, your child or another adult - this is only if the carer doesn’t live with you but sometimes has to stay overnight",Can I have my own bedroom?,Yes,"The rule states that a single adult (16 or over) can have their own bedroom, and you may fall into this category.",50,True,Are you a single adult aged 16 or over?,That information is not available.,No,"Eligibility cannot be confirmed as the user has not provided information to meet any of the specified criteria, including the initial question about being a single adult.",30.0,True,Do you or your children have a disability or medical condition that prevents sharing a bedroom?,That information is not available.,No,"Despite multiple attempts to gather information, the user has not provided any details to confirm eligibility under the specified rules.",90.0,False,,,No,"Despite multiple attempts to gather information, the user has not provided any details to confirm eligibility under the specified rules.",90,2,Yes,3,1,True,False,gemini,gemini-2.5-flash,STOP,False
sharc_007,521b4c31b7ce9dcd3b5c0a0100fb811155c1546d,c310b78c0236d73937aa88bcb8f50f9fb76e02b2,"To qualify for assistance, applicants must meet all loan eligibility requirements including:

* Be a family farmer;
* Have a satisfactory history of meeting credit obligations;
* For direct farm ownership loans, all applicants must have participated in the business operations of a farm for at least three years out of the 10 years prior to the date the application is submitted;
* Be a citizen, non-citizen national or legal resident alien of the United States, including Puerto Rico, the U.S. Virgin Islands, Guam, American Samoa, and certain former Pacific Trust Territories",Do I qualify for assistance?,No,"The rule requires applicants to meet all listed eligibility criteria, and no information has been provided to confirm the user meets any of them.",20,True,Are you a family farmer?,"Yes, I am a family farmer.",No,"While the user has confirmed being a family farmer, other essential eligibility criteria, such as credit history and citizenship, remain unconfirmed.",40.0,True,Do you have a satisfactory history of meeting credit obligations?,I have a confirmed satisfactory history of meeting credit obligations.,No,"The user has confirmed being a family farmer and having a satisfactory credit history, but citizenship/residency and potential farm operation experience for specific loan types remain unconfirmed.",60.0,True,"Are you a citizen, non-citizen national, or legal resident alien of the United States?",The user confirmed they are a non-citizen national or legal resident alien of the United States.,Yes,"The user has confirmed meeting all general eligibility requirements, including being a family farmer, having a satisfactory credit history, and being a non-citizen national or legal resident alien of the United States, and the specific requirement for direct farm ownership loans does not apply to a general request for assistance.",95,3,Yes,3,2,False,True,gemini,gemini-2.5-flash,STOP,False
sharc_008,32f3849522948b35d2e076d09b8c220e8102c241,3a0c541c166c494da7ba3b40a89bdf76dbcd658c,"#  Social Entitlement Chamber tribunal procedure rules

The rules are used in the following tribunal cases:

* Social Security and Child Support
* Asylum Support
* Criminal Injuries Compensation",Can the rules be used in this case?,No,"The rule specifies the types of tribunal cases where it applies, and the user has not provided information about their specific case type.",30,True,"Is your case related to Social Security and Child Support, Asylum Support, or Criminal Injuries Compensation?",The case is about Criminal Injuries Compensation.,Yes,"The user confirmed their case is about Criminal Injuries Compensation, which is one of the specific tribunal cases where the rules apply.",100.0,False,,,,,,,,,Yes,"The user confirmed their case is about Criminal Injuries Compensation, which is one of the specific tribunal cases where the rules apply.",100,1,Yes,3,0,False,True,gemini,gemini-2.5-flash,STOP,False
sharc_009,b2950daacc2feefbd0a128ba1247c665fe28c1dc,3a0c541c166c494da7ba3b40a89bdf76dbcd658c,"#  Social Entitlement Chamber tribunal procedure rules

The rules are used in the following tribunal cases:

* Social Security and Child Support
* Asylum Support
* Criminal Injuries Compensation",Can the rules be used in this case?,No,"The rule specifies the exact types of tribunal cases where it applies, and the user has not provided information about their specific case type.",40,True,"Is your case a Social Security and Child Support, Asylum Support, or Criminal Injuries Compensation case?",My case is specifically about Criminal Injuries Compensation.,Yes,"The user's case is specifically about Criminal Injuries Compensation, which is one of the tribunal cases where the rules are explicitly stated to be used.",100.0,False,,,,,,,,,Yes,"The user's case is specifically about Criminal Injuries Compensation, which is one of the tribunal cases where the rules are explicitly stated to be used.",100,1,Yes,2,1,False,True,gemini,gemini-2.5-flash,STOP,False
sharc_010,5a4d3869eaab713cf240ba43d4d709daaf005f2b,fb8e4f960935d33af75592f8daceecf4bb54d16d,"The Small Business Investment Company (SBIC) program, part of the U.S. Small Business Administration (SBA), was created in 1958 to fill the gap between the availability of venture capital and the needs of small businesses in start-up and growth situations. SBICs exist to supply equity capital, long­term loans and management assistance to qualifying small businesses.",Is the SBIC program suitable for me?,No,"The SBIC program is specifically designed for qualifying small businesses in start-up and growth situations, and it is unclear if the user meets these criteria.",40,True,Are you a qualifying small business seeking capital for a start-up or growth situation?,I am not a qualifying small business that needs equity capital or long-term loans.,No,"The user explicitly stated they are not a qualifying small business that needs equity capital or long-term loans, which are the core services provided by the SBIC program.",95.0,False,,,,,,,,,No,"The user explicitly stated they are not a qualifying small business that needs equity capital or long-term loans, which are the core services provided by the SBIC program.",95,1,No,2,1,True,True,gemini,gemini-2.5-flash,STOP,False
sharc_011,eed82e395a27d8c805f9605d36ea4d37e0b88977,a0e6fdd7dd601cd0b541201119c19783b7baf131,"#  2. Where you can claim benefits

The following countries have benefits arrangements with the UK:

* Hungary
* Iceland
* Ireland
* Italy",Does this country have benefits arrangements with the UK?,No,"The rule lists specific countries with benefits arrangements, and the country in question has not been identified.",10,True,"Is the country you are referring to one of the following: Hungary, Iceland, Ireland, or Italy?","No, the country in question is not Hungary, Iceland, Ireland, or Italy.",No,The user confirmed the country in question is not one of the four explicitly listed as having benefits arrangements with the UK.,100.0,False,,,,,,,,,No,The user confirmed the country in question is not one of the four explicitly listed as having benefits arrangements with the UK.,100,1,No,2,2,True,True,gemini,gemini-2.5-flash,STOP,False
sharc_012,363ddea24d37c0b644559b8340f8c9939f90a2e8,adf470f02097a0abd990368c353e3fbd421450fd,"### Exception

If you’ve been getting Housing Benefit since before 7 April 2008, these limits only apply if you:

* change address
* have a break in your claim for Housing Benefit",Do these limits apply to me?,Yes,"The rule outlines an exception where the limits might not apply, and without knowing if the user meets the specific conditions for that exception, the default assumption is that the limits apply.",60,True,Have you been getting Housing Benefit continuously at the same address since before 7 April 2008?,"Yes, I have been getting Housing Benefit since March 3rd, 2007, and have never changed my address or had a break in my claim.",No,"Since the user has been getting Housing Benefit continuously at the same address since before 7 April 2008, the exception applies, meaning these limits do not apply to them.",100.0,False,,,,,,,,,No,"Since the user has been getting Housing Benefit continuously at the same address since before 7 April 2008, the exception applies, meaning these limits do not apply to them.",100,1,No,2,1,False,True,gemini,gemini-2.5-flash,STOP,False
sharc_013,f50fd6f0e73088fc308c23e353421880d5dbc06c,2feab535397ab23972d3561fa037ac5260e7b0c1,"## Council and social housing rent

How much you get depends on:

* your ‘eligible’ rent
* if you have a spare room
* your household income - including benefits, pensions and savings (over £6,000)
* your circumstances, for example the age of people in the house or if someone has a disability",Does the amount I get depend on this?,Yes,"The rule explicitly states that the amount you get depends on the factors listed, which directly answers the user's question.",100,False,,,,,,,,,,,,,,,Yes,"The rule explicitly states that the amount you get depends on the factors listed, which directly answers the user's question.",100,0,Yes,3,0,True,True,gemini,gemini-2.5-flash,STOP,False
sharc_014,11930bfe1a678d418bafc60a22aa0f794caf42a0,a4abd4d261ff8b12c27efd3ae75bbc491bf28152,"# Green Card through Employment

You may be eligible to apply as a Immigrant worker, if you are:

* Are a first preference immigrant worker, meaning you:
** Have extraordinary ability in the sciences, arts, education, business or athletics, or
** Are an outstanding professor or researcher, or
** Are a multinational manager or executive who meets certain criteria",Could I be eligible to apply as a Immigrant Worker?,Yes,"The rule outlines the specific conditions under which an individual may be eligible as a first preference immigrant worker, indicating a possibility if those conditions are met.",50,True,Do you meet any of the specific criteria for a first preference immigrant worker as described in the rule?,"No, I do not meet any of the specific criteria for a first preference immigrant worker.",No,The user is not eligible because they explicitly stated they do not meet any of the specific criteria required to be a first preference immigrant worker.,100.0,False,,,,,,,,,No,The user is not eligible because they explicitly stated they do not meet any of the specific criteria required to be a first preference immigrant worker.,100,1,No,3,0,False,True,gemini,gemini-2.5-flash,STOP,False
sharc_015,68427282d4f3f8eb66e51ca3b4b667ce2ba8a1dc,1c807a7f8f756278846600ce17b5f0277ef54381,"## Main payments for students

Austudy is the main income support payment if you’re 25 or older and a full time student or Australian Apprentice.",Am I eligible for Austudy?,No,"The rule specifies eligibility for individuals who are 25 or older and a full-time student or Australian Apprentice, but your situation regarding these criteria is unknown.",30,True,Are you 25 or older and currently a full-time student or an Australian Apprentice?,"The user is 25 or older, but he is not a full-time student and not an Australian Apprentice.",No,"The user is 25 or older, but is not a full-time student or an Australian Apprentice, which are both required for Austudy eligibility.",100.0,False,,,,,,,,,No,"The user is 25 or older, but is not a full-time student or an Australian Apprentice, which are both required for Austudy eligibility.",100,1,No,3,0,True,True,gemini,gemini-2.5-flash,STOP,False
sharc_016,0967b0c9322954a230fe2805064c05e23e17fb8b,e7e47ea8e2330ce7ed13e3bd2f082cf955e4e7a7,"* Eligible Veterans / Servicemember
* Current Reserve and National Guard members (after 6 years of creditable service)
* Certain surviving spouses",May I qualify for VA-guaranteed loans?,No,"The rule specifies eligibility based on military service or spousal status, and the user's current status regarding these categories is not provided.",20,True,"Are you a Veteran, Servicemember, current Reserve or National Guard member with at least 6 years of creditable service, or a certain surviving spouse?",I meet the criteria of being the surviving spouse of an eligible veteran or servicemember.,Yes,"The user explicitly stated they meet the criteria of being a certain surviving spouse, which is one of the eligible categories for VA-guaranteed loans.",100.0,False,,,,,,,,,Yes,"The user explicitly stated they meet the criteria of being a certain surviving spouse, which is one of the eligible categories for VA-guaranteed loans.",100,1,Yes,2,1,False,True,gemini,gemini-2.5-flash,STOP,False
sharc_017,a7b703d897beacecec583b319436f18ea2a21189,4a82abeca4b39fb6ada731389bf76480493b98a7,"#  3. You live outside the UK

You could get tax credits if you’re a Crown servant posted overseas or you live abroad with your child and get UK benefits or the State Pension.",Could I get tax credits?,No,"The rule specifically addresses eligibility for tax credits for individuals who live outside the UK, and it is unknown if the user meets this primary condition.",40,True,Do you live outside the UK?,"Yes, I currently live outside the UK.",No,"While the user confirmed they live outside the UK, it is still unknown if they meet one of the specific conditions for eligibility, such as being a Crown servant or living abroad with a child and receiving UK benefits/State Pension.",60.0,True,Are you a Crown servant posted overseas?,I am not a Crown servant posted overseas.,No,"The user has confirmed they live outside the UK and are not a Crown servant, but it is still unknown if they meet the alternative condition of living abroad with a child and receiving UK benefits or the State Pension.",70.0,True,Do you live abroad with your child and get UK benefits or the State Pension?,"No, I do not live abroad with my child and I receive no UK benefits or State Pension.",No,The user lives outside the UK but does not meet the specific conditions of being a Crown servant posted overseas or living abroad with a child and receiving UK benefits or the State Pension.,100,3,No,2,1,True,True,gemini,gemini-2.5-flash,STOP,False
sharc_018,0061a31f750a4e6c25fb4df3e0616a799c895f40,ac40162e1dc6c936d60476a8fc84f905a8f7caba,"You may be an eligible Veteran if:

* You have an Honorable Discharge, and
* You have a High School Diploma (or equivalent) - or 12 hours of college credit, and
* You meet the requirements under one of the four categories, listed on the Department of Veterans Affairs (VA) Montgomery GI Bill Active Duty page",May I be an eligible Veteran?,No,The user has not provided any information to confirm they meet any of the specified eligibility criteria.,0,True,Do you have an Honorable Discharge?,"Yes, I have an honorable discharge.",No,"While the user has confirmed an Honorable Discharge, there is no information yet regarding their educational qualifications or meeting one of the four VA categories.",40.0,True,Do you have a High School Diploma (or equivalent) or 12 hours of college credit?,I have a high school diploma.,No,"The user has confirmed an Honorable Discharge and a High School Diploma, but has not yet provided information regarding meeting one of the four VA categories.",70.0,True,Do you meet the requirements under one of the four categories listed on the Department of Veterans Affairs (VA) Montgomery GI Bill Active Duty page?,"Yes, I meet the eligible requirements.",Yes,"The user is an eligible Veteran because they have an Honorable Discharge, a High School Diploma, and meet the requirements under one of the four VA categories.",100,3,Yes,2,1,False,True,gemini,gemini-2.5-flash,STOP,False
