id,question,label,raw_response,provider,model,latency_seconds,timestamp,error
medqa_1149,"Is the bowing symmetrical, or is one leg more affected than the other?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.929,2026-04-29T15:58:43.090100+00:00,
medqa_0638,Is the diarrhea confirmed to be caused by Clostridioides difficile?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.791,2026-04-29T15:58:45.882872+00:00,
medqa_0739,Did the patient experience a lucid interval after the motor vehicle collision before the decline in consciousness?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.942,2026-04-29T15:58:48.828493+00:00,
medqa_1145,How long has the mass been present?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.822,2026-04-29T15:58:51.653984+00:00,
medqa_0856,"Have you had a strep test, or do you have any other symptoms like white spots on your tonsils or swollen glands?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.819,2026-04-29T15:58:54.478034+00:00,
medqa_0213,Is there any evidence of jaundice or dark urine?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.885,2026-04-29T15:58:57.365662+00:00,
medqa_0564,"Is the patient currently taking any medications, particularly an antidepressant?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,3.19,2026-04-29T15:59:01.558823+00:00,
medqa_0148,Can you describe the specific nature of the behavioral changes observed?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.239,2026-04-29T15:59:04.799420+00:00,
medqa_0840,How long after the Candida injection did the skin reaction appear?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.067,2026-04-29T15:59:07.868501+00:00,
medqa_0000,"What was the nature of the error, and what was its impact on the patient?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.195,2026-04-29T15:59:11.064827+00:00,
medqa_0756,"Has the patient received chemotherapy in the past, and if so, for what condition and with what regimen?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.189,2026-04-29T15:59:14.255975+00:00,
medqa_0062,Do you experience heavy menstrual bleeding or any other sources of blood loss?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.883,2026-04-29T15:59:17.141239+00:00,
medqa_0725,Are there any white patches in your mouth?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.468,2026-04-29T15:59:20.611070+00:00,
medqa_0205,"What are the specifics of her prior vaccination history for Streptococcus pneumoniae, Neisseria meningitidis, and Haemophilus influenzae?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.104,2026-04-29T15:59:23.717304+00:00,
