id,question,label,raw_response,provider,model,latency_seconds,timestamp,error
medqa_0982,"Can you describe the chest pain – is it pleuritic, exertional, or something else?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.799,2026-05-01T02:39:46.754031+00:00,
medqa_0799,"Can you describe the chest pain – is it exertional, positional, or constant, and are there any associated symptoms like shortness of breath or nausea?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.819,2026-05-01T02:39:49.574310+00:00,
medqa_1095,"Could you describe the location of the pathology on the CT scan more precisely – for example, is it closer to the flank, the midline, or more anterior?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.841,2026-05-01T02:39:52.417263+00:00,
medqa_1228,"Has the patient experienced any recent changes in vision, headaches, or other neurological symptoms?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.647,2026-05-01T02:39:55.065443+00:00,
medqa_1054,"Can you describe the pain – is it constant, intermittent, sharp, dull, or aching, and what activities make it worse?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.668,2026-05-01T02:39:57.733944+00:00,
medqa_0215,How long has the patient been experiencing these urinary changes?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.577,2026-05-01T02:40:00.312408+00:00,
medqa_0155,"Can you describe the 'unusual behavior' in more detail? Specifically, what behaviors are concerning you?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.46,2026-05-01T02:40:03.772886+00:00,
medqa_0886,"Has she reported any new symptoms or concerns since her last visit, such as unusual discharge, pain, or bleeding?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.013,2026-05-01T02:40:06.786756+00:00,
medqa_0640,"Can you tell me how long the abdominal cramps and muscle pains have been occurring, and have there been any other associated symptoms like urine discoloration, fatigue, or recent viral illnesses?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.673,2026-05-01T02:40:09.460956+00:00,
medqa_0004,"How long have the itchy, watery eyes been occurring?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.621,2026-05-01T02:40:12.082755+00:00,
medqa_0141,"How long has the patient been experiencing fatigue and weakness, and has there been any recent weight change or changes in appetite?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.684,2026-05-01T02:40:14.768375+00:00,
medqa_0090,"How long has the patient been experiencing these symptoms, and has there been any recent travel or changes in diet?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.899,2026-05-01T02:40:17.668667+00:00,
medqa_0655,"Could you describe the planned surgical approach (e.g., open, laparoscopic, robotic) and the anticipated location of the insulinoma within the pancreas?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.055,2026-05-01T02:40:20.724692+00:00,
medqa_0097,"Can you describe the appearance of the penile discharge – is it purulent, mucopurulent, or clear?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.833,2026-05-01T02:40:23.559351+00:00,
medqa_0777,"Can you describe the pattern of your pain – is it constant, intermittent, or fluctuating, and are there any specific activities or times of day that make it significantly better or worse?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.589,2026-05-01T02:40:26.149447+00:00,
medqa_1245,How long has the patient been experiencing the cough and fatigue?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.634,2026-05-01T02:40:28.784726+00:00,
medqa_0893,"Can you describe the nature of the bite – was it a clean puncture wound, or did it involve crushing or tearing of the tissue?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.826,2026-05-01T02:40:31.612100+00:00,
medqa_0884,Could you please specify the type of protein-secreting cell this patient is exhibiting?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.736,2026-05-01T02:40:34.349100+00:00,
medqa_1069,"How long has the patient noticed this mass, and has it changed in size?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.03,2026-05-01T02:40:37.380300+00:00,
medqa_0925,"Can you describe the types of bacterial infections he's experiencing, and roughly how frequently they occur?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.646,2026-05-01T02:40:40.026918+00:00,
medqa_1159,How long has the abdominal distension been progressing?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.574,2026-05-01T02:40:42.602514+00:00,
medqa_0758,"How long has the patient been experiencing these symptoms, and has there been any unintentional weight loss?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.569,2026-05-01T02:40:45.171916+00:00,
medqa_0451,"How far can he typically walk before the cramping starts, and does rest alleviate the pain?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.695,2026-05-01T02:40:47.868840+00:00,
medqa_0050,"Is this patient's treatment plan primarily radiation, or is it combined with other modalities like chemotherapy?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.667,2026-05-01T02:40:50.536680+00:00,
medqa_1119,"Can you describe the nature of the pain – is it sharp, aching, constant, or related to specific activities?",ALEATORIC,ALEATORIC,gemini,gemini-2.5-flash,1.719,2026-05-01T02:40:53.256786+00:00,
medqa_0222,"Has she been diagnosed with diabetes, and if so, what type of diabetes and what medications is she currently taking?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.726,2026-05-01T02:40:55.983975+00:00,
medqa_0206,"Regarding the genetic analysis, what is the population being studied and is it known to have a high degree of genetic homogeneity?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.75,2026-05-01T02:40:58.734801+00:00,
medqa_1134,"Can you describe the location of the ulcer on the foot, and are there any signs of surrounding cellulitis or drainage?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.743,2026-05-01T02:41:01.478440+00:00,
medqa_0322,"Can you tell me more about the pattern of the falls – are they primarily forward, backward, sudden, or related to any specific movements or activities?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.152,2026-05-01T02:41:04.632412+00:00,
medqa_0951,"Has the patient expressed any previous attempts at quitting, and if so, what methods did she try and what were the barriers she encountered?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.675,2026-05-01T02:41:07.309314+00:00,
medqa_0208,What type of virus is DN501 intended to treat?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.825,2026-05-01T02:41:10.135095+00:00,
medqa_0872,"Can you describe the location of the gunshot wound on the abdomen more specifically – for example, quadrant or distance from the umbilicus?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.809,2026-05-01T02:41:12.945537+00:00,
