id,difficulty,correct_option,is_correct_preliminary,is_correct_updated,preliminary_confidence,updated_confidence,confidence_delta,cq_type
medqa_0982,easy,B,True,True,60,95,35,EPISTEMIC
medqa_0799,easy,B,True,True,60,95,35,EPISTEMIC
medqa_1095,medium,C,True,False,60,95,35,EPISTEMIC
medqa_1228,hard,B,True,True,65,95,30,EPISTEMIC
medqa_1054,medium,A,True,True,60,95,35,EPISTEMIC
medqa_0215,easy,C,False,False,65,95,30,EPISTEMIC
medqa_0155,medium,D,True,True,60,95,35,EPISTEMIC
medqa_0886,easy,A,True,False,65,95,30,EPISTEMIC
medqa_0640,medium,D,True,True,60,95,35,EPISTEMIC
medqa_0004,easy,B,True,True,60,95,35,EPISTEMIC
medqa_0141,medium,A,False,False,50,90,40,EPISTEMIC
medqa_0090,medium,D,True,True,60,95,35,EPISTEMIC
medqa_0655,medium,B,True,True,65,95,30,EPISTEMIC
medqa_0097,easy,B,True,False,65,95,30,EPISTEMIC
medqa_0777,easy,C,True,True,65,90,25,EPISTEMIC
medqa_1245,hard,B,True,True,65,85,20,EPISTEMIC
medqa_0893,easy,B,True,True,65,95,30,EPISTEMIC
medqa_0884,easy,A,True,True,70,100,30,EPISTEMIC
medqa_1069,easy,A,True,False,60,95,35,EPISTEMIC
medqa_0925,easy,C,True,False,60,95,35,EPISTEMIC
medqa_1159,easy,A,False,False,65,95,30,EPISTEMIC
medqa_0758,hard,D,False,False,65,95,30,EPISTEMIC
medqa_0451,easy,D,False,False,65,95,30,EPISTEMIC
medqa_0050,easy,D,True,True,65,100,35,EPISTEMIC
medqa_1119,medium,D,False,True,60,95,35,ALEATORIC
medqa_0222,easy,C,False,False,65,95,30,EPISTEMIC
medqa_0206,easy,C,True,True,60,95,35,EPISTEMIC
medqa_1134,easy,A,False,False,60,95,35,EPISTEMIC
medqa_0322,medium,C,False,False,65,95,30,EPISTEMIC
medqa_0951,medium,C,False,True,65,95,30,EPISTEMIC
medqa_0208,easy,B,False,False,40,60,20,EPISTEMIC
medqa_0872,medium,C,False,True,60,95,35,EPISTEMIC
medqa_0507,hard,D,True,False,60,95,35,EPISTEMIC
medqa_0681,medium,B,False,True,65,95,30,EPISTEMIC
medqa_0344,hard,A,False,True,60,95,35,EPISTEMIC
medqa_0807,hard,A,True,True,65,95,30,EPISTEMIC
medqa_0889,medium,A,False,False,65,95,30,EPISTEMIC
medqa_1050,medium,C,True,True,65,95,30,EPISTEMIC
medqa_0943,easy,D,True,True,60,100,40,EPISTEMIC
medqa_0896,easy,D,False,True,55,95,40,EPISTEMIC
medqa_0052,easy,D,True,True,65,95,30,EPISTEMIC
medqa_0052,easy,D,True,True,65,95,30,EPISTEMIC
medqa_0607,easy,C,True,True,40,95,55,EPISTEMIC
medqa_1182,easy,A,True,True,65,95,30,EPISTEMIC
medqa_0410,easy,C,False,True,65,95,30,EPISTEMIC
medqa_1164,medium,A,False,False,40,95,55,EPISTEMIC
medqa_0467,hard,D,True,True,60,95,35,EPISTEMIC
medqa_0610,medium,A,True,False,65,95,30,EPISTEMIC
medqa_0627,hard,C,False,False,60,95,35,EPISTEMIC
medqa_0702,medium,C,True,False,40,95,55,EPISTEMIC
medqa_0552,hard,A,False,False,60,95,35,EPISTEMIC
medqa_0258,medium,D,False,True,40,90,50,EPISTEMIC
medqa_0711,easy,C,True,True,60,95,35,EPISTEMIC
medqa_0128,medium,A,False,True,65,95,30,EPISTEMIC
medqa_1158,hard,D,False,False,65,90,25,EPISTEMIC
medqa_0138,easy,B,True,True,65,95,30,EPISTEMIC
medqa_0529,easy,B,True,True,65,95,30,EPISTEMIC
medqa_0770,easy,B,False,False,65,95,30,EPISTEMIC
medqa_0569,hard,B,False,False,60,95,35,EPISTEMIC
medqa_1077,hard,A,False,False,65,95,30,EPISTEMIC
medqa_0857,easy,C,False,False,30,60,30,EPISTEMIC
medqa_1083,easy,A,True,True,60,85,25,EPISTEMIC
medqa_0025,easy,D,False,False,60,95,35,EPISTEMIC
medqa_0324,medium,A,False,False,60,95,35,EPISTEMIC
medqa_1125,easy,C,True,True,65,95,30,EPISTEMIC
medqa_0088,hard,C,False,False,60,95,35,EPISTEMIC
medqa_0749,easy,C,False,False,60,90,30,EPISTEMIC
medqa_1081,easy,D,True,True,65,95,30,EPISTEMIC
medqa_0381,medium,C,False,False,60,95,35,EPISTEMIC
medqa_1172,easy,D,False,True,60,95,35,EPISTEMIC
medqa_0932,easy,D,False,False,65,95,30,EPISTEMIC
medqa_1063,easy,D,True,True,60,85,25,EPISTEMIC
medqa_0885,hard,C,False,False,60,95,35,EPISTEMIC
medqa_0458,easy,C,True,True,65,95,30,EPISTEMIC
medqa_1212,easy,B,False,False,60,95,35,EPISTEMIC
medqa_0920,easy,A,True,False,60,85,25,EPISTEMIC
medqa_0334,easy,B,True,True,65,95,30,EPISTEMIC
medqa_0393,easy,A,False,False,75,95,20,EPISTEMIC
medqa_1171,hard,C,True,True,65,95,30,EPISTEMIC
medqa_0628,medium,C,False,True,60,90,30,EPISTEMIC
medqa_1269,hard,D,False,False,65,90,25,EPISTEMIC
medqa_0099,easy,B,True,True,60,95,35,EPISTEMIC
medqa_0207,easy,A,True,True,65,95,30,EPISTEMIC
medqa_0912,medium,B,True,False,65,95,30,EPISTEMIC
medqa_0423,hard,D,True,False,65,90,25,EPISTEMIC
medqa_0863,medium,A,False,False,50,85,35,EPISTEMIC
medqa_1198,medium,B,True,True,60,90,30,EPISTEMIC
medqa_1216,hard,A,False,False,65,95,30,EPISTEMIC
medqa_0989,medium,B,False,False,65,95,30,EPISTEMIC
medqa_0682,medium,D,True,True,40,95,55,EPISTEMIC
medqa_0278,easy,A,True,False,60,95,35,EPISTEMIC
medqa_0983,easy,C,True,False,65,75,10,EPISTEMIC
medqa_0620,easy,C,False,False,60,95,35,EPISTEMIC
medqa_1097,easy,C,False,False,60,95,35,EPISTEMIC
medqa_1097,easy,C,False,False,60,95,35,EPISTEMIC
medqa_0732,medium,B,False,False,60,85,25,EPISTEMIC
medqa_0028,hard,D,True,True,60,95,35,EPISTEMIC
medqa_0644,medium,B,True,False,40,75,35,EPISTEMIC
medqa_0400,medium,B,False,False,60,95,35,EPISTEMIC
medqa_0426,hard,B,True,True,60,95,35,EPISTEMIC
medqa_0281,easy,C,True,True,65,95,30,EPISTEMIC
medqa_0847,easy,C,False,False,60,95,35,EPISTEMIC
