id,difficulty,correct_option,is_correct_preliminary,is_correct_1,is_correct_2,is_correct_final,preliminary_confidence,confidence_1,confidence_2,final_confidence,cq1_type,cq2_type,cq3_type
medqa_0982,easy,B,True,True,False,True,35,40,70,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0799,easy,B,True,True,True,True,75,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1095,medium,C,True,True,True,True,15,90,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1228,hard,B,True,True,True,True,75,95,98,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1054,medium,A,True,True,True,False,65,90,90,85,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0215,easy,C,False,False,False,False,85,90,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0155,medium,D,True,True,True,True,45,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0886,easy,A,False,True,True,True,85,90,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0640,medium,D,True,True,True,True,75,95,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0004,easy,B,True,True,True,True,85,95,98,99,EPISTEMIC,EPISTEMIC,ALEATORIC
medqa_0141,medium,A,False,False,False,True,65,95,90,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0090,medium,D,False,True,True,True,65,90,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0655,medium,B,True,True,True,True,60,85,85,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0097,easy,B,True,True,True,True,85,95,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0777,easy,C,True,True,True,True,85,95,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1245,hard,B,False,True,True,True,65,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0893,easy,B,True,True,True,True,90,95,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0884,easy,A,True,True,True,True,95,98,99,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1069,easy,A,False,True,True,True,55,75,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0925,easy,C,False,False,False,False,75,95,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1159,easy,A,False,False,False,False,75,70,75,80,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0758,hard,D,False,False,False,False,35,75,90,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0451,easy,D,True,True,True,True,20,30,35,40,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0050,easy,D,True,True,True,True,95,95,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1119,medium,D,False,True,True,True,35,75,85,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0222,easy,C,True,True,True,True,85,85,85,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0206,easy,C,True,True,True,True,95,100,100,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1134,easy,A,False,False,True,True,65,70,85,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0322,medium,C,False,True,True,True,65,80,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0951,medium,C,False,True,True,True,85,70,85,90,ALEATORIC,EPISTEMIC,EPISTEMIC
medqa_0208,easy,B,False,False,False,False,0,0,0,0,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0872,medium,C,False,True,True,True,30,75,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0507,hard,D,False,True,True,True,65,80,80,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0681,medium,B,True,True,True,True,95,98,99,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0344,hard,A,False,True,True,True,40,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0807,hard,A,True,True,True,True,70,90,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0889,medium,A,False,True,False,True,55,70,65,75,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1050,medium,C,True,True,True,True,95,98,98,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0943,easy,D,True,True,True,True,95,98,99,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0896,easy,D,True,True,True,True,65,80,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0052,easy,D,True,True,True,True,90,98,99,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0607,easy,C,True,True,True,True,40,95,98,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1182,easy,A,True,True,True,True,90,95,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0410,easy,C,False,False,True,True,50,80,95,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
