id,question,label,raw_response,provider,model,latency_seconds,timestamp,error
medqa_0982,"Can you describe the chest pain – is it pleuritic, exertional, or something else?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.903,2026-05-01T02:44:25.070996+00:00,
medqa_0982,"Has the patient experienced any recent weight loss, fever, night sweats, or other systemic symptoms?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.84,2026-05-01T02:44:27.911528+00:00,
medqa_0982,"Has a chest X-ray or CT scan been performed, and if so, can you describe any findings, particularly regarding the presence of masses, nodules, or lymphadenopathy?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.838,2026-05-01T02:44:30.750879+00:00,
medqa_0799,"Can you describe the chest pain – is it exertional, positional, or constant, and are there any associated symptoms like shortness of breath or nausea?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.973,2026-05-01T02:44:33.730419+00:00,
medqa_0799,"What is the patient's current blood pressure and heart rate, and are there any signs of peripheral perfusion compromise (e.g., cool extremities, delayed capillary refill)?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.66,2026-05-01T02:44:36.391073+00:00,
medqa_0799,"Has an ECG been performed, and if so, what are the key findings (e.g., ST elevation, ST depression, T wave inversions)?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.819,2026-05-01T02:44:39.210446+00:00,
medqa_1095,"Could you describe the location of the pathology on the CT scan more precisely – for example, is it closer to the flank, the midline, or more anterior?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.069,2026-05-01T02:44:42.280976+00:00,
medqa_1095,Does the CT scan reveal any involvement or proximity to the linea alba?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.619,2026-05-01T02:44:44.900636+00:00,
medqa_1095,"Is there any evidence of hematoma or fluid collection surrounding the defect within the rectus abdominis muscle, and if so, what is its approximate size?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.712,2026-05-01T02:44:47.613881+00:00,
medqa_1228,Has the patient experienced any recent changes in vision or headaches?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.608,2026-05-01T02:44:50.222961+00:00,
medqa_1228,"Has the patient's growth velocity (height gained per year) been consistently below the normal range for his age, or is this a more recent observation?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.852,2026-05-01T02:44:53.075786+00:00,
medqa_1228,"Are there any reported abnormalities on physical examination, such as galactorrhea, delayed puberty signs, or abnormal neurological findings beyond the occasional head turning and recent headaches?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.62,2026-05-01T02:44:55.697678+00:00,
medqa_1054,"Can you describe the pain – is it constant, intermittent, sharp, dull, or aching, and what activities make it worse?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.807,2026-05-01T02:44:58.507146+00:00,
medqa_1054,Does the patient experience difficulty or pain with abduction (raising the arm away from the body) or external rotation of the shoulder?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.748,2026-05-01T02:45:01.256723+00:00,
medqa_1054,"Has the patient experienced any recent trauma to the shoulder, such as a fall or direct blow?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.668,2026-05-01T02:45:03.925349+00:00,
medqa_0215,How long has the patient been experiencing these urinary changes?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.622,2026-05-01T02:45:06.548253+00:00,
medqa_0215,"Does the patient report any dysuria (painful urination), hematuria (blood in urine), or urgency (sudden, compelling need to urinate)?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.658,2026-05-01T02:45:09.207710+00:00,
medqa_0215,"Has the patient noticed any difficulty starting or maintaining a stream of urine, or a weak urinary stream?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.684,2026-05-01T02:45:11.892909+00:00,
medqa_0155,"Can you describe the 'unusual behavior' in more detail? Specifically, what behaviors are concerning you?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.91,2026-05-01T02:45:14.805849+00:00,
medqa_0155,"Was there any history of recent substance use, particularly over-the-counter medications, prescription drugs, or illicit substances, and if so, can you describe the substance(s) and approximate time of last use?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.64,2026-05-01T02:45:17.447584+00:00,
medqa_0155,"Can you describe the appearance of the 'white powder' that was reportedly circulating, and were there any other individuals present who exhibited similar symptoms?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.616,2026-05-01T02:45:20.064894+00:00,
medqa_0886,"Has she reported any new symptoms or concerns since her last visit, such as unusual discharge, pain, or bleeding?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.709,2026-05-01T02:45:22.774766+00:00,
medqa_0886,What is her history of prior STI screening and what were the results?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.66,2026-05-01T02:45:25.436363+00:00,
medqa_0886,What type of contraception is she currently using?,EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.056,2026-05-01T02:45:28.493124+00:00,
medqa_0640,"Can you tell me how long the abdominal cramps and muscle pains have been occurring, and have there been any other associated symptoms like urine discoloration, fatigue, or recent infections?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.737,2026-05-01T02:45:31.231085+00:00,
medqa_0640,"Has Jacob been exposed to lead recently, such as through paint, water pipes, or toys, and are there any known sources of lead in his home or daycare environment?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,2.013,2026-05-01T02:45:34.245792+00:00,
medqa_0640,Could you please obtain a blood lead level (BLL) for Jacob to quantify the extent of potential lead exposure?,ALEATORIC,ALEATORIC,gemini,gemini-2.5-flash,1.599,2026-05-01T02:45:36.845665+00:00,
medqa_0004,"How long have the itchy, watery eyes been occurring?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.609,2026-05-01T02:45:39.455893+00:00,
medqa_0004,"Are there any associated symptoms such as redness, swelling, crusting of the eyelids, or blurred vision?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.714,2026-05-01T02:45:42.170654+00:00,
medqa_0004,"Does the patient have any known allergies, particularly to pollen, dust mites, or animal dander?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.63,2026-05-01T02:45:44.801771+00:00,
medqa_0141,"How long has the patient been experiencing fatigue and weakness, and has there been any recent weight change or changes in appetite?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.816,2026-05-01T02:45:47.619193+00:00,
medqa_0141,"Does the patient report any new-onset headaches, visual disturbances, or changes in her menstrual cycle?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.662,2026-05-01T02:45:50.282164+00:00,
medqa_0141,"Has the patient been taking any new medications, supplements, or herbal remedies in the past six months?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.834,2026-05-01T02:45:53.118185+00:00,
medqa_0090,"How long has the patient been experiencing these symptoms, and has there been any recent travel or changes in diet?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.672,2026-05-01T02:45:55.791279+00:00,
medqa_0090,"Has the patient consumed any water from rivers, lakes, or streams since arriving in Uganda?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.596,2026-05-01T02:45:58.387600+00:00,
medqa_0090,"Has the patient experienced any abdominal pain, fever, or visible blood in the stool?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.585,2026-05-01T02:46:00.973410+00:00,
medqa_0655,"Could you describe the planned surgical approach (e.g., open, laparoscopic, robotic) and the anticipated location of the insulinoma within the pancreas?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.6,2026-05-01T02:46:03.574672+00:00,
medqa_0655,"Given the laparoscopic approach and body of the pancreas location, are there any significant adhesions or prior surgical history that might alter the standard dissection plane and necessitate additional ligamentolysis?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.715,2026-05-01T02:46:06.291581+00:00,
medqa_0655,"Considering the laparoscopic approach and the lesion's location in the body of the pancreas, what is the anticipated plane of dissection relative to the splenic vessels, and how might this influence the need to address the ligamentum venosum?",EPISTEMIC,EPISTEMIC,gemini,gemini-2.5-flash,1.74,2026-05-01T02:46:09.032146+00:00,
