id,clarifying_question
medqa_1149,"Is the bowing symmetrical, or is one leg more affected than the other?"
medqa_0638,Is the diarrhea confirmed to be caused by Clostridioides difficile?
medqa_0739,Did the patient experience a lucid interval after the motor vehicle collision before the decline in consciousness?
medqa_1145,How long has the mass been present?
medqa_0856,"Have you had a strep test, or do you have any other symptoms like white spots on your tonsils or swollen glands?"
medqa_0213,Is there any evidence of jaundice or dark urine?
medqa_0564,"Is the patient currently taking any medications, particularly an antidepressant?"
medqa_0148,Can you describe the specific nature of the behavioral changes observed?
medqa_0840,How long after the Candida injection did the skin reaction appear?
medqa_0000,"What was the nature of the error, and what was its impact on the patient?"
medqa_0756,"Has the patient received chemotherapy in the past, and if so, for what condition and with what regimen?"
medqa_0062,Do you experience heavy menstrual bleeding or any other sources of blood loss?
medqa_0725,Are there any white patches in your mouth?
medqa_0205,"What are the specifics of her prior vaccination history for Streptococcus pneumoniae, Neisseria meningitidis, and Haemophilus influenzae?"
medqa_1070,"Do you ever experience regurgitation of undigested food, particularly hours after eating?"
medqa_0124,Can you describe the child's typical bowel movements?
medqa_0688,"Are you currently taking any medications, particularly diuretics or low-dose aspirin?"
medqa_0959,"Does the stiffness limit your ability to move your arm in all directions, both on your own and when someone else tries to move it?"
medqa_0776,What are the success rates for the new drug and the control group?
medqa_0578,"Does this difficulty discarding items lead to cluttered living spaces that compromise their intended use, or cause significant distress or impairment in your daily life?"
medqa_0195,To what extent did the diagnostic process rely on retrospective parental report of early developmental milestones?
medqa_1160,"Have you noticed any skin rashes, particularly on your scalp, elbows, or knees, or any changes in your fingernails or toenails?"
medqa_0841,"Are there any associated symptoms such as changes in bowel habits, abdominal pain, or unexplained weight loss?"
medqa_0354,"Do you regularly take any over-the-counter pain medications, such as ibuprofen or naproxen?"
medqa_0204,At what vertebral level are the fused kidneys located?
medqa_0911,Which specific drug are we considering for this patient?
medqa_0572,"Are there any papules, pustules, or significant flushing associated with the rash?"
medqa_0668,Are the lesions vesicular?
medqa_0359,"Have you noticed any skin rashes or changes, particularly around your eyelids, knuckles, or chest?"
medqa_0623,Does the study involve a comparison group or an intervention?
medqa_0945,What is the anatomical identity of the structure indicated by the green arrow?
medqa_0728,What is the estimated gestational age of the pregnancy?
medqa_0817,"When evaluating 'financial risk to physicians,' are we primarily considering the risk of uncompensated care costs or the risk of fluctuating income?"
medqa_0076,Was a pelvic mass identified on examination?
medqa_0456,"How has his feeding been, and how many wet and soiled diapers is he having?"
medqa_0935,Which specific type of cell are you referring to?
medqa_0274,Does the bump have a central crater or plug?
medqa_1116,"Is the pain associated with morning stiffness, swelling, or other inflammatory signs?"
medqa_0590,What were the results of the routine complete blood count (CBC)?
medqa_0809,Does he have a fever or any other systemic symptoms?
medqa_0331,What were the results of his newborn screening?
medqa_1035,"Can you describe the specific appearance of the rash, such as whether it is bumpy, flat, scaly, or blistered?"
medqa_1213,"Could you describe the specific characteristics of these involuntary movements, such as whether they occur at rest or with action, and if there are any other associated neurological symptoms?"
medqa_0356,Are there any other 'odd' or 'eccentric' behaviors or beliefs present?
medqa_1252,Which of these medications is the patient currently taking?
medqa_0661,Is the murmur continuous throughout systole and diastole?
medqa_1166,"Is the social anxiety primarily situational (e.g., public speaking, tests) or more generalized across various social interactions?"
medqa_0087,What is the patient's current blood pressure?
medqa_0877,Are these the only respiratory rate measurements available for these patients at their initial visit?
medqa_1180,What medication has been prescribed to the patient?
medqa_0054,"What medications are you currently taking, and for how long have you been taking them?"
medqa_0296,"Has the lesion changed in size, shape, or color recently?"
medqa_0923,Does the pain primarily occur when you try to lift your arm away from your body or overhead?
medqa_0779,What are the patient's current heart rate and blood pressure?
medqa_1234,Is the swelling fluctuant?
medqa_0952,How long have you been experiencing these symptoms?
medqa_0542,What specific findings were noted during this routine prenatal visit?
medqa_0510,"What challenges, if any, have you encountered in taking your HIV medications as prescribed?"
medqa_1270,"Do you typically exercise in the evenings, and if so, how close to when you try to sleep?"
medqa_1006,"Have you noticed any changes in your eyes, such as bulging or irritation?"
medqa_0230,Has anyone ever checked your blood pressure in both your arms and legs?
medqa_0474,Are there any known advance directives or documented prior wishes from the patient regarding resuscitation?
medqa_0909,Can you describe the specific dysmorphic features observed?
medqa_1147,What are his current blood glucose levels and is he checking for ketones?
medqa_0132,Is the patient experiencing any fever or chills?
medqa_0976,"What is the precise gestational age of the pregnancy, confirmed by ultrasound?"
medqa_1146,Are there any advance directives or documented refusals of blood transfusions for this patient?
medqa_0275,Is the question focused on the primary metabolic regulator of coronary blood flow during increased demand?
medqa_1133,When was your last tetanus shot or Tdap vaccine?
medqa_0295,"Are your irregular periods typically infrequent or absent, or are they more often heavy or prolonged?"
medqa_0667,Are distal pulses palpable and strong in the affected extremity?
medqa_0999,Has the patient had any prior evaluation for this vision impairment?
medqa_0940,Does the swelling pit when you press on it?
medqa_0061,How long after her last dose of metronidazole did she consume alcohol?
medqa_1175,"Do you experience morning stiffness in your wrists or neck, and if so, for how long does it typically last?"
medqa_0523,"Are there any associated symptoms such as diarrhea, blood in stool, weight loss, or fever?"
medqa_1199,Have you experienced any recent tick bites or a rash?
medqa_0357,What is the patient's pupillary size and reactivity?
medqa_0089,"Have thyroid function tests been performed, and if so, what were the results?"
medqa_0427,Are there any known significant off-target effects of miglitol that involve the cleavage of other types of bonds listed?
medqa_0170,What was the patient's respiratory rate?
medqa_0895,Are there any other family members with speech delay or other developmental concerns?
medqa_0516,What is the indication for which the patient is taking lisinopril?
medqa_0060,"Has she traveled recently, especially to areas where parasitic infections are common?"
medqa_0671,Can you describe the appearance of the rash and its exact location?
medqa_0538,Was the antibiotic prescribed as a single dose or a multi-day course?
medqa_0259,What specific symptoms or family history of iron overload have led to your concern about hereditary hemochromatosis?
medqa_0358,What was the mechanism of injury?
medqa_0491,"Is this patient's care with you expected to conclude after this vaccination, or do you anticipate providing her ongoing medical care?"
medqa_0791,"Has the child experienced any diarrhea, vomiting, or a rash?"
medqa_0424,Were goblet cells identified on esophageal biopsy?
medqa_1043,Is the mass solitary or are there other palpable nodules?
medqa_0834,Has the patient had any prior exposure to halothane or other volatile anesthetics?
medqa_0883,Could you please describe the biological process or pathway you are referring to?
medqa_0784,What is the current gestational age?
medqa_0098,Are there any neurological deficits or signs of instability?
medqa_0554,"Following these episodes of chest pain, have you experienced persistent worry about having more attacks or changed your behavior to avoid them for at least a month?"
medqa_1204,Has a miscarriage been confirmed?
medqa_0484,"Has a thorough inspection of all digits, including between the toes and fingers, been performed to rule out a hair tourniquet?"
medqa_1240,Are there any signs of developmental delay or elevated uric acid levels?
