id,clarifying_question
medqa_0982,"Can you describe the chest pain – is it pleuritic, exertional, or something else?"
medqa_0799,"Can you describe the chest pain – is it exertional, positional, or constant, and are there any associated symptoms like shortness of breath or nausea?"
medqa_1095,"Could you describe the location of the pathology on the CT scan more precisely – for example, is it closer to the flank, the midline, or more anterior?"
medqa_1228,"Has the patient experienced any recent changes in vision, headaches, or other neurological symptoms?"
medqa_1054,"Can you describe the pain – is it constant, intermittent, sharp, dull, or aching, and what activities make it worse?"
medqa_0215,How long has the patient been experiencing these urinary changes?
medqa_0155,"Can you describe the 'unusual behavior' in more detail? Specifically, what behaviors are concerning you?"
medqa_0886,"Has she reported any new symptoms or concerns since her last visit, such as unusual discharge, pain, or bleeding?"
medqa_0640,"Can you tell me how long the abdominal cramps and muscle pains have been occurring, and have there been any other associated symptoms like urine discoloration, fatigue, or recent viral illnesses?"
medqa_0004,"How long have the itchy, watery eyes been occurring?"
medqa_0141,"How long has the patient been experiencing fatigue and weakness, and has there been any recent weight change or changes in appetite?"
medqa_0090,"How long has the patient been experiencing these symptoms, and has there been any recent travel or changes in diet?"
medqa_0655,"Could you describe the planned surgical approach (e.g., open, laparoscopic, robotic) and the anticipated location of the insulinoma within the pancreas?"
medqa_0097,"Can you describe the appearance of the penile discharge – is it purulent, mucopurulent, or clear?"
medqa_0777,"Can you describe the pattern of your pain – is it constant, intermittent, or fluctuating, and are there any specific activities or times of day that make it significantly better or worse?"
medqa_1245,How long has the patient been experiencing the cough and fatigue?
medqa_0893,"Can you describe the nature of the bite – was it a clean puncture wound, or did it involve crushing or tearing of the tissue?"
medqa_0884,Could you please specify the type of protein-secreting cell this patient is exhibiting?
medqa_1069,"How long has the patient noticed this mass, and has it changed in size?"
medqa_0925,"Can you describe the types of bacterial infections he's experiencing, and roughly how frequently they occur?"
medqa_1159,How long has the abdominal distension been progressing?
medqa_0758,"How long has the patient been experiencing these symptoms, and has there been any unintentional weight loss?"
medqa_0451,"How far can he typically walk before the cramping starts, and does rest alleviate the pain?"
medqa_0050,"Is this patient's treatment plan primarily radiation, or is it combined with other modalities like chemotherapy?"
medqa_1119,"Can you describe the nature of the pain – is it sharp, aching, constant, or related to specific activities?"
medqa_0222,"Has she been diagnosed with diabetes, and if so, what type of diabetes and what medications is she currently taking?"
medqa_0206,"Regarding the genetic analysis, what is the population being studied and is it known to have a high degree of genetic homogeneity?"
medqa_1134,"Can you describe the location of the ulcer on the foot, and are there any signs of surrounding cellulitis or drainage?"
medqa_0322,"Can you tell me more about the pattern of the falls – are they primarily forward, backward, sudden, or related to any specific movements or activities?"
medqa_0951,"Has the patient expressed any previous attempts at quitting, and if so, what methods did she try and what were the barriers she encountered?"
medqa_0208,What type of virus is DN501 intended to treat?
medqa_0872,"Can you describe the location of the gunshot wound on the abdomen more specifically – for example, quadrant or distance from the umbilicus?"
medqa_0507,Can you tell me about the patient's oxygen saturation and any findings on chest auscultation or imaging?
medqa_0681,Can you tell me when the leg pain started and has there been any recent trauma or injury to the leg?
medqa_0344,"Can you describe the tremor in more detail? For example, is it at rest, with movement, or postural?"
medqa_0807,"Can you describe the location of the stab wounds – specifically, are any of them in the chest or near the neck?"
medqa_0889,"How long has the patient been experiencing this gum bleeding, and has there been any recent trauma to the gums?"
