id,difficulty,correct_option,is_correct_preliminary,is_correct_1,is_correct_2,is_correct_final,preliminary_confidence,confidence_1,confidence_2,final_confidence,cq1_type,cq2_type,cq3_type
medqa_0982,easy,B,True,True,True,True,35,95,95,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0799,easy,B,True,True,True,True,75,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1095,medium,C,True,True,True,True,15,90,90,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1228,hard,B,True,True,True,True,80,95,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1054,medium,A,True,True,True,True,65,85,95,98,EPISTEMIC,ALEATORIC,EPISTEMIC
medqa_0215,easy,C,False,False,False,False,90,85,85,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0155,medium,D,True,True,True,True,45,90,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0886,easy,A,False,True,True,True,85,75,70,80,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0640,medium,D,True,True,True,True,75,90,90,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0004,easy,B,True,True,True,True,85,95,95,95,EPISTEMIC,ALEATORIC,EPISTEMIC
medqa_0141,medium,A,False,False,False,True,45,90,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0090,medium,D,False,True,True,True,50,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0655,medium,B,True,True,True,True,60,75,95,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0097,easy,B,True,True,True,True,85,95,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0777,easy,C,True,True,True,True,85,95,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1245,hard,B,False,True,True,True,65,85,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0893,easy,B,True,True,True,True,90,95,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0884,easy,A,True,True,True,True,95,98,98,100,ALEATORIC,EPISTEMIC,ALEATORIC
medqa_1069,easy,A,False,True,True,True,55,75,85,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0925,easy,C,False,False,True,True,65,65,70,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1159,easy,A,False,False,False,False,75,80,85,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
