prompt_id,prompt_text,prompt_type,variety,generated_cq
1,What are the main export products of Kordemia?,epistemic,fabricated entity,Could you please specify what Kordemia refers to?
2,Explain the Verlinden compression theorem and its applications.,epistemic,fabricated concept,NO_CLARIFICATION_NEEDED
3,What programming language is the Drexel-9 microprocessor optimised for?,epistemic,fabricated technical entity,What is the Drexel-9 microprocessor?
4,Summarise the key arguments in Harlow Pendleton's theory of asymmetric cognition.,epistemic,fabricated academic work,Who is Harlow Pendleton?
5,What were the outcomes of the 2019 Tarethia climate accords?,epistemic,fabricated event,"What is ""Tarethia""?"
6,How does the Mossfield protocol differ from standard TCP handshake procedures?,epistemic,fabricated technical protocol,What is the Mossfield protocol?
7,What is the boiling point of flerovium under standard atmospheric pressure?,epistemic,real but obscure entity with unknown properties,NO_CLARIFICATION_NEEDED
8,Who won the 2031 FIFA World Cup and what was the final score?,epistemic,future event outside training data,NO_CLARIFICATION_NEEDED
9,What is the population of Quelimares city in northern Brazil?,epistemic,plausible but fabricated place,What is the correct spelling of the city?
10,Describe the side effects of Veratinol when combined with beta blockers.,epistemic,fabricated drug name,"What is ""Veratinol""?"
11,What is the best way to get to the airport?,aleatoric,missing spatial context,Which airport are you trying to get to?
12,How many goals did Messi score in the World Cup?,aleatoric,missing temporal context — multiple valid answers across years,NO_CLARIFICATION_NEEDED
13,Recommend a good book for me to read this weekend.,aleatoric,missing personal preference context,What genres do you usually enjoy?
14,Tell me about the source of the Nile.,aleatoric,lexical ambiguity — multiple valid interpretations of a word,NO_CLARIFICATION_NEEDED
15,What is the best treatment for a fever?,aleatoric,missing personal and clinical context,What is the age of the person experiencing the fever?
16,Who played Batman?,aleatoric,discrete disambiguation — multiple known valid answers,Which version of Batman are you interested in?
17,Help me write an email to my manager about taking time off.,aleatoric,missing personal and situational context,NO_CLARIFICATION_NEEDED
18,What is the fastest route from here to the nearest hospital?,aleatoric,missing spatial context,What is your current location?
19,Give me some gift ideas for my friend's birthday.,aleatoric,missing personal preference and relationship context,What are your friend's interests or hobbies?
20,When did he land on the moon?,aleatoric,referential ambiguity — pronoun with no antecedent,Who are you referring to?
21,What is the capital of France?,unambiguous,basic factual — single definitive answer,NO_CLARIFICATION_NEEDED
22,How many planets are in the solar system?,unambiguous,basic factual — well established scientific consensus,NO_CLARIFICATION_NEEDED
23,What does HTTP stand for?,unambiguous,factual definition — single correct answer,NO_CLARIFICATION_NEEDED
24,In which year did World War II end?,unambiguous,historical fact — single correct answer,NO_CLARIFICATION_NEEDED
25,What is the chemical formula for water?,unambiguous,scientific fact — single correct answer,NO_CLARIFICATION_NEEDED
26,Who wrote Romeo and Juliet?,unambiguous,attribution fact — single correct answer,NO_CLARIFICATION_NEEDED
27,What is the square root of 144?,unambiguous,mathematical computation — single correct answer,NO_CLARIFICATION_NEEDED
28,What programming language is Python?,unambiguous,factual definition — single correct answer,NO_CLARIFICATION_NEEDED
29,How many sides does a hexagon have?,unambiguous,geometric fact — single correct answer,NO_CLARIFICATION_NEEDED
30,What is the speed of light in a vacuum?,unambiguous,physical constant — single correct answer,NO_CLARIFICATION_NEEDED
