id,question,label,raw_response,provider,model,latency_seconds,timestamp,error
msd_001,Can you still find Microsoft Solitaire in your Start Menu or by searching for it on your computer?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.027,2026-05-04T11:55:45.364788+00:00,
msd_002,Are you referring to the desktop calculator application or the full-screen app from the Start screen?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,3.944,2026-05-04T11:55:50.309695+00:00,
msd_003,Have you tried resetting the Bing News app data or reinstalling the app from the Windows Store since the issue began?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,34.77,2026-05-04T11:56:26.080635+00:00,
msd_004,"Has there been any recent software installation, update (Windows or Office), or new Excel add-in enabled on your system?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,4.284,2026-05-04T11:56:31.370617+00:00,
msd_005,Have you tried creating a new user account and attempting to launch 'Back up your computer' from the Control Panel while logged into that new account?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.462,2026-05-04T11:56:37.834232+00:00,
msd_006,"Are you using a VPN, proxy server, or any specific network security software that might be interfering with Skype's connection, especially since you've changed locations?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.371,2026-05-04T11:56:44.207089+00:00,
msd_007,"Are you using multiple monitors, or have you recently changed your display setup (e.g., disconnected an external monitor or projector)?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,4.384,2026-05-04T11:56:49.592241+00:00,
msd_008,"Does this page reloading issue occur only when you try to copy content on YouTube, or does it happen on other websites in Microsoft Edge as well?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,3.482,2026-05-04T11:56:54.075805+00:00,
msd_009,Is the last argument of your VLOOKUP function set to FALSE for an exact match?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,4.759,2026-05-04T11:56:59.837344+00:00,
msd_010,"Could you please tell me where exactly you saw the promise for the Amazon gift card when creating your Hotmail account (e.g., a specific website, email, or advertisement)?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,3.902,2026-05-04T11:57:04.741375+00:00,
msd_011,"Have you tried updating your Windows 10 operating system and Microsoft Edge browser to the latest available versions, and does the issue persist after the updates?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,3.279,2026-05-04T11:57:09.021681+00:00,
msd_012,"Are you using the standard 'Sort & Filter' function from the Data tab, or are you attempting to sort using a different method, such as a macro or a specific table feature?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,4.365,2026-05-04T11:57:14.387786+00:00,
msd_013,"When did this issue with ComboBoxes start occurring, and did it coincide with any specific update to Office for Mac or your macOS version?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,6.375,2026-05-04T11:57:21.764855+00:00,
msd_014,"Are you encountering any issues or inconsistencies when using the method you've described, or are you primarily seeking confirmation that this is the standard approach?",ALEATORIC,ALEATORIC,gemini,gemini-3.1-pro-preview,5.126,2026-05-04T11:57:27.891537+00:00,
msd_015,"Does the high memory usage begin immediately when you open the Calculator app, or does it gradually increase over time while the app is running, especially in the background?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,4.762,2026-05-04T11:57:33.654444+00:00,
msd_016,"Does clicking on any other web link (e.g., in an email or document) successfully open a web browser?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.631,2026-05-04T11:57:40.286433+00:00,
msd_017,"Which web browser are you using (e.g., Microsoft Edge, Chrome, Firefox) and does this issue occur in other browsers as well?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,3.298,2026-05-04T11:57:44.585794+00:00,
msd_018,"When you right-click an icon and 'Properties' cannot be selected, is the 'Properties' option greyed out in the context menu, or does clicking it simply do nothing?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,4.654,2026-05-04T11:57:50.241159+00:00,
msd_019,Does the issue with Bing Video search persist if you try accessing it from a different web browser or in a private browsing window in Firefox?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,2.654,2026-05-04T11:57:53.896652+00:00,
msd_020,Have you checked PowerPoint's preferences or account settings to see if OneDrive is listed as a connected service or default save location?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,7.887,2026-05-04T11:58:02.784997+00:00,
msd_021,"Are you open to using Camtasia Studio 7 to record your screen and webcam, or do you specifically need to achieve this effect directly within PowerPoint 2010?",ALEATORIC,ALEATORIC,gemini,gemini-3.1-pro-preview,2.71,2026-05-04T11:58:06.497346+00:00,
msd_022,"For the mean, are you looking to highlight only cells with the exact calculated average, or values that are closest to it if an exact match isn't present?",ALEATORIC,ALEATORIC,gemini,gemini-3.1-pro-preview,3.306,2026-05-04T11:58:10.804411+00:00,
msd_023,"Is the PowerPoint file stored locally on your computer, on a network drive, or in a cloud storage service like OneDrive or SharePoint?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,5.667,2026-05-04T11:58:17.473363+00:00,
msd_024,Could you please tell me what graphics card (GPU) your computer has and if its drivers are up to date?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,3.17,2026-05-04T11:58:21.645095+00:00,
msd_025,"Are you using the official Bing Wallpaper application, Windows Spotlight, or another method to set the Bing Daily Photo as your background?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,3.007,2026-05-04T11:58:25.654229+00:00,
msd_026,"Are you currently experiencing issues receiving calls on Skype, or are you simply asking about the general functionality of calling via email?",ALEATORIC,ALEATORIC,gemini,gemini-3.1-pro-preview,3.483,2026-05-04T11:58:30.138572+00:00,
msd_027,"How are you currently integrating your SQL data with Bing Maps (e.g., specific API, SDK, or a third-party tool)?",EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,3.457,2026-05-04T11:58:34.597156+00:00,
msd_028,Does the crashing behavior persist if you disconnect your external monitors and use PowerPoint only on your MacBook's built-in display?,EPISTEMIC,EPISTEMIC,gemini,gemini-3.1-pro-preview,3.183,2026-05-04T11:58:38.780640+00:00,
msd_029,Are you looking for the Bing app to be available in a specific country or language?,ALEATORIC,ALEATORIC,gemini,gemini-3.1-pro-preview,3.786,2026-05-04T11:58:43.568312+00:00,
